Date	Count
11, 06 2008	1
11, 06 2014	3
11, 06 2017	2
11, 07 2008	1
11, 07 2016	4
11, 08 2014	6
11, 08 2015	1
11, 09 2015	2
11, 10 2015	2
11, 11 2016	2
11, 14 2015	5
11, 14 2017	5
11, 15 2014	4
11, 16 2015	2
11, 17 2014	5
11, 17 2015	1
11, 18 2014	3
11, 18 2015	1
11, 19 2015	3
11, 19 2016	5
11, 19 2017	4
11, 20 2015	2
11, 21 2014	5
11, 22 2009	1
11, 22 2014	4
11, 23 2015	4
11, 24 2014	5
11, 24 2015	3
11, 24 2016	3
11, 25 2014	4
11, 29 2008	2
11, 29 2010	1
11, 29 2016	2
11, 30 2008	5
11, 30 2009	1
11, 30 2015	3
12, 01 2008	1
12, 01 2014	5
12, 02 2014	3
12, 05 2008	1
12, 05 2009	2
12, 06 2014	4
12, 07 2008	2
12, 07 2009	1
12, 07 2015	5
12, 07 2017	4
12, 08 2008	2
12, 08 2012	4
12, 08 2014	3
12, 08 2015	4
12, 09 2008	1
12, 10 2008	2
12, 10 2015	2
12, 10 2016	3
12, 11 2014	4
12, 12 2008	2
12, 12 2009	1
12, 12 2014	3
12, 12 2015	3
12, 13 2014	5
12, 14 2012	2
12, 14 2015	2
12, 16 2014	5
12, 17 2009	1
12, 17 2016	3
12, 18 2014	4
12, 19 2015	3
12, 21 2009	1
12, 21 2014	3
12, 21 2015	5
12, 22 2015	2
12, 24 2011	2
12, 26 2016	5
12, 27 2006	7
12, 27 2011	2
12, 27 2014	3
12, 27 2016	4
12, 28 2006	2
12, 28 2011	4
12, 28 2014	1
12, 28 2016	2
12, 29 2006	4
12, 29 2011	2
12, 29 2015	4
12, 29 2016	2
12, 30 2006	6
12, 30 2011	1
12, 30 2016	3
12, 31 2006	3
12, 31 2011	2
12, 31 2014	3
